Company Name / 회사명,Type / 유형,HQ Location / 본사 위치,Area / 지역,AUM ($Bil),AUM (억원),AREA(지역),주주여부
웰브릿지자산운용,Mutual,서울,0, 0 ," 3,688 ",Korea,
웰스자산운용,Mutual,서울,0, 0 , 202 ,Korea,
웰컴자산운용,Mutual,서울,0, 1 ," 17,404 ",Korea,
위너스자산운용,Mutual,서울,0, 0 , 90 ,Korea,
위드플러스자산운용,Mutual,서울,0, 0 , 67 ,Korea,
위솔자산운용,Mutual,서울,0, 0 , 979 ,Korea,
위플러스자산운용,Mutual,서울,0, 0 , 55 ,Korea,
유경피에스지자산운용,Mutual,서울,0, 0 ," 5,130 ",Korea,
유나이티드파트너스자산운용,Mutual,서울,0, 0 ," 1,310 ",Korea,
유니스토리자산운용,Mutual,서울,0, 0 ," 1,307 ",Korea,
유리자산운용,Mutual,서울,0, 10 ," 139,048 ",Korea,
유진자산운용,Mutual,서울,0, 6 ," 89,109 ",Korea,
유피자산운용,Mutual,서울,0, 0 , 99 ,Korea,
으뜸자산운용,Mutual,서울,0, 0 , 412 ,Korea,
이가자산운용,Mutual,서울,0, 0 , 273 ,Korea,
이도캐피탈자산운용,Mutual,서울,0, 0 , 55 ,Korea,
이든자산운용,Mutual,서울,0, 1 ," 7,663 ",Korea,
이루자산운용,Mutual,서울,0, 0 , 215 ,Korea,
이룸자산운용,Mutual,서울,0, 0 , 188 ,Korea,
이스트우드자산운용,Mutual,서울,0, 0 , 112 ,Korea,
이아이피자산운용,Mutual,서울,0, 0 ," 1,438 ",Korea,
이에이자산운용,Mutual,서울,0, 0 , 242 ,Korea,
이오스자산운용,Mutual,서울,0, - , - ,Korea,
이음자산운용,Mutual,서울,0, 0 , 15 ,Korea,
이지스리얼에셋투자운용,Mutual,서울,0, 0 ," 1,135 ",Korea,
이지스엑스자산운용,Mutual,서울,0, 0 ," 5,194 ",Korea,
이지스자산운용,Mutual,서울,0, 13 ," 188,357 ",Korea,
이현자산운용,Mutual,서울,0, 0 , 944 ,Korea,
이화자산운용,Mutual,서울,0, 1 ," 7,375 ",Korea,
인마크자산운용,Mutual,서울,0, 0 , 523 ,Korea,
인벡스자산운용,Mutual,서울,0, 0 , 871 ,Korea,
인사이트자산운용,Mutual,서울,0, 0 ," 1,548 ",Korea,
인터레이스자산운용,Mutual,서울,0, 0 ," 1,052 ",Korea,
인트러스투자운용,Mutual,서울,0, 0 ," 1,357 ",Korea,
인프라프론티어자산운용,Mutual,서울,0, 0 , 85 ,Korea,
인피니티글로벌자산운용,Mutual,서울,0, 0 ," 1,066 ",Korea,
자비스자산운용,Mutual,서울,0, 0 , 139 ,Korea,
자산운용별내,Mutual,서울,0, 0 , 153 ,Korea,
자산운용진,Mutual,서울,0, 0 , 152 ,Korea,
자산운용현,Mutual,서울,0, 0 , 197 ,Korea,
재원자산운용,Mutual,서울,0, 0 , 133 ,Korea,
제너시스투자자문,Mutual,서울,0, - , - ,Korea,
제니스자산운용,Mutual,서울,0, 0 , 200 ,Korea,
